id,sub_skill,difficulty,text,option_a,option_b,option_c,option_d,correct_answer
ratio_proportion_001,Ratio & Proportion,1,Divide 100 in the ratio 2:3. Find the smaller part.,30,35,40,45,40
ratio_proportion_002,Ratio & Proportion,2,"If a:b = 2:3 and b = 15, find a.",8,9,10,12,10
ratio_proportion_003,Ratio & Proportion,3,"Divide 600 among A, B and C in the ratio 1:2:3. Find B's share.",100,150,200,250,200
ratio_proportion_004,Ratio & Proportion,4,Two numbers are in the ratio 3:5 and their sum is 96. Find the larger number.,50,55,60,65,60
ratio_proportion_005,Ratio & Proportion,5,"If a:b = 4:5 and b:c = 2:3, find a:c.",8:15,4:3,2:3,5:8,8:15
averages_001,Averages,1,"Find the average of 10, 20 and 30.",15,18,20,22,20
averages_002,Averages,2,The average of 5 numbers is 20. Find their sum.,80,90,100,110,100
averages_003,Averages,3,"The average of 4 numbers is 15. A 5th number, 25, is added. Find the new average.",15,16,17,18,17
averages_004,Averages,4,"The average age of 30 students is 12 years. Including the teacher's age, the average becomes 13. Find the teacher's age.",40,41,42,43,43
averages_005,Averages,5,Find the average of the first 10 natural numbers.,5,5.5,6,10,5.5
mixtures_alligations_001,Mixtures & Alligations,1,In what ratio must a 20/kg item be mixed with a 30/kg item to get a mixture worth 25/kg?,1:1,2:3,3:2,1:2,1:1
mixtures_alligations_002,Mixtures & Alligations,2,In what ratio should tea worth 25/kg be mixed with tea worth 30/kg to get a mixture worth 28/kg (cheaper:dearer)?,1:2,2:3,3:2,3:5,2:3
mixtures_alligations_003,Mixtures & Alligations,3,In what ratio should rice at 15/kg be mixed with rice at 20/kg to get a mixture worth 18/kg (cheaper:dearer)?,1:1,2:3,3:2,1:2,2:3
mixtures_alligations_004,Mixtures & Alligations,4,Milk (40/L) is mixed with water (0/L) to get a mixture priced at 30/L. Find the ratio milk:water.,1:3,2:1,3:1,4:1,3:1
mixtures_alligations_005,Mixtures & Alligations,5,A 20% solution is mixed with a 40% solution to get a 30% solution. Find the mixing ratio.,1:1,1:2,2:1,3:2,1:1
partnership_001,Partnership,1,A invests 2000 and B invests 3000 for the same time period. Find their profit-sharing ratio.,1:1,2:3,3:2,3:4,2:3
partnership_002,Partnership,2,"A invests 1000 for 12 months, B invests 2000 for 6 months. Find the profit ratio.",1:1,1:2,2:1,3:2,1:1
partnership_003,Partnership,3,A and B invest 3000 and 4000 respectively for a year. Total profit is 7000. Find A's share.,2500,3000,3500,4000,3000
partnership_004,Partnership,4,A invests 5000 for 12 months; B invests 5000 but joins after 4 months (so for 8 months). Find the profit ratio A:B.,2:3,3:2,1:1,5:4,3:2
partnership_005,Partnership,5,A total profit of 9000 is divided between A and B in the ratio 2:3. Find B's share.,5000,5200,5400,5600,5400
data_interpretation_001,Data Interpretation,1,A pie chart sector spans 90 degrees. What percentage of the total does it represent?,20%,25%,30%,35%,25%
data_interpretation_002,Data Interpretation,2,A pie chart sector represents 20% of a total of 500. Find the sector's value.,80,90,100,120,100
data_interpretation_003,Data Interpretation,3,"In a bar graph, sales in January are 200 and in February are 250. Find the percentage increase.",20%,22%,25%,30%,25%
data_interpretation_004,Data Interpretation,4,A pie chart shows Category A = 40% of a total. Find the sector's angle in degrees.,120,132,144,150,144
data_interpretation_005,Data Interpretation,5,A table shows total sales of 1000 units spread equally across 4 regions. Find the average sales per region.,200,225,250,275,250
data_sufficiency_001,Data Sufficiency,1,"If Statement 1 alone gives a single exact numeric answer to the question, Statement 1 is:",Sufficient,Insufficient,Irrelevant,Cannot be determined,Sufficient
data_sufficiency_002,Data Sufficiency,2,A statement that allows two different possible answers to the question is:,Sufficient,Insufficient,Always combined,Redundant,Insufficient
data_sufficiency_003,Data Sufficiency,3,What is the standard order to check statements in Data Sufficiency?,"Combined first, then individually","Statement 1 alone, then Statement 2 alone, then combined",Statement 2 alone only,Guess based on question type,"Statement 1 alone, then Statement 2 alone, then combined"
data_sufficiency_004,Data Sufficiency,4,To answer a Data Sufficiency question you must:,Compute the exact final numeric answer,Judge whether enough information is given to find one definite answer,Only use Statement 2,Ignore the question stem,Judge whether enough information is given to find one definite answer
data_sufficiency_005,Data Sufficiency,5,"If both statements alone are insufficient but together give one definite answer, the classification is:",Each statement alone is sufficient,Neither is sufficient even combined,Sufficient only when combined,Statement 1 alone is sufficient,Sufficient only when combined
time_distance_001,Time & Distance,1,A car travels 60 km in 2 hours. Find its speed.,20 km/h,25 km/h,30 km/h,35 km/h,30 km/h
time_distance_002,Time & Distance,2,A train travels at 90 km/h. How far does it travel in 3 hours?,250 km,260 km,270 km,280 km,270 km
time_distance_003,Time & Distance,3,Convert 72 km/h to m/s.,15 m/s,18 m/s,20 m/s,22 m/s,20 m/s
time_distance_004,Time & Distance,4,A person covers a distance going at 40 km/h and returns over the same distance at 60 km/h. Find the average speed for the round trip.,45 km/h,48 km/h,50 km/h,52 km/h,48 km/h
time_distance_005,Time & Distance,5,A car covers 150 km in 2.5 hours. Find its speed in m/s.,15 m/s,16.67 m/s,18 m/s,20 m/s,16.67 m/s
trains_001,Trains,1,A train 100 m long crosses a pole in 10 seconds. Find its speed.,8 m/s,9 m/s,10 m/s,12 m/s,10 m/s
trains_002,Trains,2,A train 150 m long crosses a platform 350 m long in 25 seconds. Find its speed.,15 m/s,18 m/s,20 m/s,22 m/s,20 m/s
trains_003,Trains,3,"Two trains, 100 m each, move in opposite directions at 20 m/s and 30 m/s. Find the time they take to cross each other.",3 s,4 s,5 s,6 s,4 s
trains_004,Trains,4,A train moving at 60 km/h crosses a man standing on a platform in 9 seconds. Find the train's length.,130 m,140 m,150 m,160 m,150 m
trains_005,Trains,5,"Two trains, 100 m and 150 m long, move in the same direction at 25 m/s and 15 m/s. Find the time to cross each other.",20 s,22 s,25 s,28 s,25 s
boats_streams_001,Boats & Streams,1,A boat's speed in still water is 10 km/h and the stream's speed is 2 km/h. Find the downstream speed.,10 km/h,11 km/h,12 km/h,14 km/h,12 km/h
boats_streams_002,Boats & Streams,2,"Using the same boat and stream as above, find the upstream speed.",6 km/h,7 km/h,8 km/h,9 km/h,8 km/h
boats_streams_003,Boats & Streams,3,A boat's downstream speed is 15 km/h and upstream speed is 9 km/h. Find the boat's speed in still water.,10 km/h,11 km/h,12 km/h,13 km/h,12 km/h
boats_streams_004,Boats & Streams,4,"Using the same data as above, find the stream's speed.",2 km/h,3 km/h,4 km/h,5 km/h,3 km/h
boats_streams_005,Boats & Streams,5,A boat travels 24 km downstream in 2 hours. Find its downstream speed.,10 km/h,11 km/h,12 km/h,13 km/h,12 km/h
time_work_001,Time & Work,1,A can complete a work in 10 days. Find A's work rate per day.,1/8,1/10,1/12,1/15,1/10
time_work_002,Time & Work,2,A does 1/10 of a work per day and B does 1/15 per day. Find their combined rate per day.,1/5,1/6,1/8,1/10,1/6
time_work_003,Time & Work,3,"Using the combined rate above (1/6 per day), how many days will A and B together take to finish the work?",5,6,7,8,6
time_work_004,Time & Work,4,"A can do a work in 20 days and B can do it in 30 days. Working together, how many days will they take?",10,12,15,18,12
time_work_005,Time & Work,5,"A can finish a job in 12 days. After working alone for 4 days, what fraction of the work remains?",1/3,1/2,2/3,3/4,2/3
pipes_cisterns_001,Pipes & Cisterns,1,A pipe fills a tank in 6 hours. Find its rate per hour.,1/4,1/6,1/8,1/10,1/6
pipes_cisterns_002,Pipes & Cisterns,2,Pipe A fills a tank in 6 hours and Pipe B fills it in 12 hours. Find the time to fill the tank if both are opened together.,3 hours,4 hours,5 hours,6 hours,4 hours
pipes_cisterns_003,Pipes & Cisterns,3,"Pipe A fills a tank in 4 hours; Pipe B, an outlet, empties it in 8 hours. If both are open, find the time to fill the tank.",6 hours,7 hours,8 hours,10 hours,8 hours
pipes_cisterns_004,Pipes & Cisterns,4,"Two pipes together fill a tank in 6 hours. If one pipe alone takes 10 hours, find how long the other pipe alone would take.",12 hours,15 hours,18 hours,20 hours,15 hours
pipes_cisterns_005,Pipes & Cisterns,5,An outlet pipe empties a full tank in 10 hours. What fraction of the tank is emptied in 4 hours?,1/5,2/5,3/5,4/5,2/5
linear_equations_001,Linear Equations,1,Solve for x: 2x + 3 = 11.,3,4,5,6,4
linear_equations_002,Linear Equations,2,Solve for x: 5x - 10 = 0.,1,2,3,4,2
linear_equations_003,Linear Equations,3,Solve the system x + y = 10 and x - y = 2. Find x.,5,6,7,8,6
linear_equations_004,Linear Equations,4,Solve for x: 3(x - 2) = 15.,5,6,7,8,7
linear_equations_005,Linear Equations,5,"If 2x + y = 10 and y = 4, find x.",2,3,4,5,3
quadratic_equations_001,Quadratic Equations,1,Solve x^2 - 5x + 6 = 0 by factoring. What are the roots?,1 and 6,2 and 3,3 and 4,2 and 4,2 and 3
quadratic_equations_002,Quadratic Equations,2,Find the discriminant of x^2 + 2x + 1 = 0.,-4,0,4,8,0
quadratic_equations_003,Quadratic Equations,3,"Since the discriminant of x^2 + 2x + 1 = 0 is zero, how many distinct real roots does it have?",0,1,2,None,1
quadratic_equations_004,Quadratic Equations,4,Solve x^2 - 9 = 0.,3 or -3,9 or -9,3 only,-3 only,3 or -3
quadratic_equations_005,Quadratic Equations,5,Find the sum of the roots of x^2 - 7x + 10 = 0.,5,6,7,10,7
progressions_001,Progressions,1,"Find the 5th term of the AP 2, 5, 8, 11, ...",11,12,14,17,14
progressions_002,Progressions,2,"Find the sum of the first 5 terms of the AP 2, 5, 8, 11, 14.",30,35,40,45,40
progressions_003,Progressions,3,"Find the 4th term of the GP 3, 6, 12, 24, ...",18,20,24,30,24
progressions_004,Progressions,4,"Find the common difference of the AP 10, 7, 4, 1, ...",-2,-3,-4,3,-3
progressions_005,Progressions,5,"Find the common ratio of the GP 5, 15, 45, ...",2,3,4,5,3
basic_geometry_001,Basic Geometry,1,"The angles of a triangle are 60 degrees, 70 degrees and x. Find x.",40,50,60,70,50
basic_geometry_002,Basic Geometry,2,Two angles on a straight line are 110 degrees and x. Find x.,60,65,70,80,70
basic_geometry_003,Basic Geometry,3,"A triangle's exterior angle is 100 degrees, and one non-adjacent interior angle is 40 degrees. Find the other non-adjacent interior angle.",40,50,60,70,60
basic_geometry_004,Basic Geometry,4,Find the sum of the interior angles of a quadrilateral (4-sided figure).,180,270,360,450,360
basic_geometry_005,Basic Geometry,5,A triangle is isosceles with two equal angles of 50 degrees each. Find the third angle.,60,70,80,90,80
mensuration_2d_001,Mensuration 2D,1,Find the area of a rectangle with length 10 and width 5.,40,45,50,55,50
mensuration_2d_002,Mensuration 2D,2,Find the perimeter of a square with side 6.,20,22,24,26,24
mensuration_2d_003,Mensuration 2D,3,Find the area of a circle with radius 7 (use pi = 22/7).,144,150,154,160,154
mensuration_2d_004,Mensuration 2D,4,Find the area of a triangle with base 10 and height 6.,24,28,30,36,30
mensuration_2d_005,Mensuration 2D,5,Find the circumference of a circle with radius 7 (use pi = 22/7).,38,40,44,48,44
mensuration_3d_001,Mensuration 3D,1,Find the volume of a cube with side 4.,48,56,64,72,64
mensuration_3d_002,Mensuration 3D,2,"Find the volume of a cuboid with length 5, width 4 and height 3.",50,55,60,65,60
mensuration_3d_003,Mensuration 3D,3,Find the volume of a cylinder with radius 7 and height 10 (use pi = 22/7).,2000,2100,2200,2400,2200
mensuration_3d_004,Mensuration 3D,4,Find the total surface area of a cube with side 3.,45,50,54,60,54
mensuration_3d_005,Mensuration 3D,5,Find the curved surface area of a cylinder with radius 7 and height 5 (use pi = 22/7).,200,210,220,240,220
permutation_combination_001,Permutation & Combination,1,How many ways can 3 people be arranged in a line?,3,6,9,12,6
permutation_combination_002,Permutation & Combination,2,Find 5P2.,10,15,20,25,20
permutation_combination_003,Permutation & Combination,3,Find 5C2.,8,10,12,15,10
permutation_combination_004,Permutation & Combination,4,How many ways can a committee of 3 be chosen from 6 people?,15,18,20,24,20
permutation_combination_005,Permutation & Combination,5,Find 4! (4 factorial).,12,18,24,30,24
probability_001,Probability,1,A die is rolled once. Find the probability of getting a 4.,1/6,1/4,1/3,1/2,1/6
probability_002,Probability,2,A coin is tossed twice. Find the probability of getting two heads.,1/6,1/4,1/3,1/2,1/4
probability_003,Probability,3,A bag has 4 red and 6 blue balls. Find the probability of picking a red ball.,1/5,2/5,3/5,4/5,2/5
probability_004,Probability,4,The probability of an event is 0.3. Find the probability of it NOT happening.,0.3,0.5,0.7,0.9,0.7
probability_005,Probability,5,A die is rolled. Find the probability of getting an even number.,1/3,1/2,2/3,5/6,1/2
number_systems_001,Number Systems,1,Find the HCF of 12 and 18.,2,3,6,9,6
number_systems_002,Number Systems,2,Find the LCM of 4 and 6.,8,10,12,24,12
number_systems_003,Number Systems,3,"If HCF(a,b) = 4, LCM(a,b) = 48, and a = 16, find b.",10,12,14,16,12
number_systems_004,Number Systems,4,Is 17 a prime number?,Yes,No,Cannot be determined,Only if even,Yes
number_systems_005,Number Systems,5,Find the HCF of 24 and 36.,6,8,12,18,12
simplification_001,Simplification,1,Simplify: 10 + 2 x 3.,12,14,16,18,16
simplification_002,Simplification,2,Simplify: (10 + 2) x 3.,30,33,36,40,36
simplification_003,Simplification,3,Simplify: 20 / 4 + 3 x 2.,9,10,11,12,11
simplification_004,Simplification,4,Simplify: 2 + 3 x (4 - 1).,9,10,11,14,11
simplification_005,Simplification,5,Simplify: 50 - 10 x 2 + 5.,25,30,35,40,35
coding_decoding_001,Coding-Decoding,1,"If CAT is coded as DBU (each letter shifted forward by 1), how is DOG coded?",EPH,EPG,FPH,EQH,EPH
coding_decoding_002,Coding-Decoding,2,"In a code, A=1, B=2, C=3, and so on. What number represents E?",4,5,6,7,5
coding_decoding_003,Coding-Decoding,3,"If BOOK is coded as CPPL (each letter shifted forward by 1), decode CPPL back to the original word.",BOOK,BOOL,COOK,BOOJ,BOOK
coding_decoding_004,Coding-Decoding,4,"If the word RAIN is written in reverse, what do you get?",NIAR,NARI,RAIN,NIRA,NIAR
coding_decoding_005,Coding-Decoding,5,"If each letter is shifted backward by 1, how would CAT be coded?",BZS,BZT,AZS,BYS,BZS
blood_relations_001,Blood Relations,1,"If A is B's father, and B is C's father, what is A to C?",Father,Grandfather,Uncle,Brother,Grandfather
blood_relations_002,Blood Relations,2,"If A is B's mother, and C is B's brother, what is C to A?",Son,Daughter,Brother,Nephew,Son
blood_relations_003,Blood Relations,3,"If P is Q's sister, and R is Q's father, what is R to P?",Father,Grandfather,Uncle,Brother,Father
blood_relations_004,Blood Relations,4,"If X is Y's son, and Y is Z's daughter, what is X to Z?",Grandson,Son,Nephew,Grandnephew,Grandson
blood_relations_005,Blood Relations,5,"If A is the brother of B, and B is the mother of C, what is A to C?",Uncle,Father,Brother,Cousin,Uncle
direction_sense_001,Direction Sense,1,A person faces North and turns right. Which direction do they now face?,North,South,East,West,East
direction_sense_002,Direction Sense,2,"A person walks 3 km North, then 4 km East. Find the straight-line distance from the starting point.",3 km,4 km,5 km,7 km,5 km
direction_sense_003,Direction Sense,3,A person faces East and turns left. Which direction do they now face?,North,South,East,West,North
direction_sense_004,Direction Sense,4,"A person walks 5 km South, then turns right and walks 5 km. Which direction did they walk in the second leg?",North,South,East,West,West
direction_sense_005,Direction Sense,5,A person faces South and turns right twice (180 degrees total). Which direction do they now face?,North,South,East,West,North
series_001,Series,1,"Find the next term: 2, 4, 6, 8, ?",9,10,11,12,10
series_002,Series,2,"Find the next term: 3, 9, 27, 81, ?",162,200,243,270,243
series_003,Series,3,"Find the next term: 1, 4, 9, 16, ?",20,22,25,30,25
series_004,Series,4,"Find the next letter: A, C, E, G, ?",H,I,J,K,I
series_005,Series,5,"Find the next term: 5, 10, 20, 40, ?",60,70,80,90,80
syllogisms_001,Syllogisms,1,All cats are animals. All animals are living things. Does it follow that all cats are living things?,"Yes, always","No, never",Only sometimes,Cannot be determined,"Yes, always"
syllogisms_002,Syllogisms,2,All A are B. No B are C. Does it follow that no A are C?,"Yes, always","No, never",Only sometimes,Cannot be determined,"Yes, always"
syllogisms_003,Syllogisms,3,Some A are B. Some B are C. Does it follow that some A are C?,"Yes, always","No, not necessarily",Only sometimes,Cannot be determined,"No, not necessarily"
syllogisms_004,Syllogisms,4,All roses are flowers. Some flowers fade quickly. Does it follow that all roses fade quickly?,"Yes, always","No, not necessarily",Only sometimes,Cannot be determined,"No, not necessarily"
syllogisms_005,Syllogisms,5,No A are B. All B are C. Does it follow that no A are C?,"Yes, always","No, not necessarily",Only sometimes,Cannot be determined,"No, not necessarily"
statement_conclusions_001,Statement & Conclusions,1,Statement: All employees must wear ID cards in the office. Conclusion: Some people in the office may not have ID cards. Does this necessarily follow?,"Yes, follows","No, does not follow",Cannot be determined,Partially follows,"No, does not follow"
statement_conclusions_002,Statement & Conclusions,2,Statement: It is raining heavily today. Conclusion: The ground outside is likely wet. Does this reasonably follow?,"Yes, follows","No, does not follow",Cannot be determined,Partially follows,"Yes, follows"
statement_conclusions_003,Statement & Conclusions,3,Statement: The store closes at 9 PM every day. Conclusion: The store is open at 8 PM. Does this necessarily follow?,"Yes, follows","No, does not follow",Cannot be determined,Partially follows,"Yes, follows"
statement_conclusions_004,Statement & Conclusions,4,Statement: Only members are allowed inside the club. Conclusion: Everyone inside the club is a member. Does this necessarily follow?,"Yes, follows","No, does not follow",Cannot be determined,Partially follows,"Yes, follows"
statement_conclusions_005,Statement & Conclusions,5,Statement: Most students passed the exam. Conclusion: All students passed the exam. Does this necessarily follow?,"Yes, follows","No, does not follow",Cannot be determined,Partially follows,"No, does not follow"
venn_diagrams_001,Venn Diagrams,1,"30 people like tea, 20 like coffee, and 10 like both. How many like at least one?",30,35,40,50,40
venn_diagrams_002,Venn Diagrams,2,"In a class of 50, 30 study Math and 25 study Science, with 10 studying both. How many study neither?",0,5,10,15,5
venn_diagrams_003,Venn Diagrams,3,"If two sets have no overlap at all, how are they best represented in a Venn diagram?",Two overlapping circles,"Two separate, non-touching circles",One circle inside another,A single combined circle,"Two separate, non-touching circles"
venn_diagrams_004,Venn Diagrams,4,50 people all like at least one of cricket or football. 40 like cricket and 35 like football. How many like both?,15,20,25,30,25
venn_diagrams_005,Venn Diagrams,5,"If Set A is entirely contained within Set B, how is this drawn in a Venn diagram?",Two overlapping circles,Two separate circles,A small circle fully inside a larger circle,Two identical circles,A small circle fully inside a larger circle
seating_arrangement_001,Seating Arrangement,1,5 people sit in a row. A is at one end and B is immediately to A's right. Who is in the second position from A's end?,A,B,C,D,B
seating_arrangement_002,Seating Arrangement,2,"In a circular arrangement of 6 people facing the center, if every person moves one seat clockwise, does their relative order change?","Yes, it changes","No, it stays the same",Only for some people,Cannot be determined,"No, it stays the same"
seating_arrangement_003,Seating Arrangement,3,"A, B and C sit in a row. B is to the left of A and C is to the right of A. What is the order, left to right?","B, A, C","A, B, C","C, A, B","A, C, B","B, A, C"
seating_arrangement_004,Seating Arrangement,4,"At a circular table with 8 people seated equally spaced, X sits exactly opposite Y. How many seats are between them going one way?",2,3,4,5,3
seating_arrangement_005,Seating Arrangement,5,"4 people, P, Q, R, S, sit in a row. Q is immediately to the left of R, and P is at the leftmost end. What is the valid order?","P, Q, R, S","P, S, Q, R","Q, P, R, S","P, Q, S, R","P, Q, R, S"
puzzles_001,Puzzles,1,"5 friends are ranked 1st to 5th in a race, no ties. If A finished before B, and B finished before C, who could NOT have finished last?",A,B,C,D,A
puzzles_002,Puzzles,2,"In a puzzle with 4 people of different heights, if P is tallest and S is shortest, how many people's relative order (among the middle two) is still undetermined?",0,1,2,3,2
puzzles_003,Puzzles,3,Clue 1: X sits second from the left. Clue 2: Y sits immediately to X's right. Where does Y sit?,First,Second,Third,Fourth,Third
puzzles_004,Puzzles,4,"In a 5-person ranking puzzle, D is exactly in the middle position. What position is D in?",1st,2nd,3rd,4th,3rd
puzzles_005,Puzzles,5,What is the best general strategy for solving a multi-clue puzzle?,Read strictly top to bottom,"Start with the most certain, specific clue first",Guess and check randomly,Ignore clues that seem vague,"Start with the most certain, specific clue first"
clocks_calendars_001,Clocks & Calendars,1,Find the angle between the hour and minute hands at 3:00.,60,75,90,105,90
clocks_calendars_002,Clocks & Calendars,2,Find the angle between the hour and minute hands at 6:00.,150,165,180,195,180
clocks_calendars_003,Clocks & Calendars,3,Find the angle between the hour and minute hands at 12:30.,150,160,165,170,165
clocks_calendars_004,Clocks & Calendars,4,How many degrees does the minute hand move in 10 minutes?,50,55,60,65,60
clocks_calendars_005,Clocks & Calendars,5,How many times do the hour and minute hands overlap in a 12-hour period?,10,11,12,24,11
